 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLef:back1a,43.181,13.569,585.936,11371
2,TCFLef:back1b,47.922,13.686,655.861,12728
3,TCFLef:back1c,41.893,13.376,560.378,10875
4,TCFLef:Cntl,12294.716,115.539,1420520.400,27567397
5,TCFLef:Expt,8141.634,108.789,885722.500,17188816
6,pCIG:back2a,43.181,25.442,1098.598,21320
7,pCIG:back2b,47.922,25.291,1212.014,23521
8,pCIG:back2c,41.893,25.454,1066.341,20694
9,pCIG:Cntl,12294.716,103.573,1273403.559,24712367
10,pCIG:Expt,8141.634,114.275,930388.971,18055638
