Experiment,Treatment (right/left),Reagent,Dose,Embryo,Somites,HH Stage,File Name,Section,Cntl Pax7 Tube Cells,Cntl Pax7 Mig Cells,Expt Pax7 Tube Cells,Expt Pax7 Mig Cells,Cntl Sox9 Cells,Expt Sox9 Cells
2017.10.16_SMPD3_gRNA1_Cas9eGFP,SMPD3 gRNA1/Control gRNA,Cas9eGFP,2 µg/µl,1,7,9,Emb1_7ss_sec1.czi,1,18,23,15,13,23,18
2017.10.16_SMPD3_gRNA1_Cas9eGFP,SMPD3 gRNA1/Control gRNA,Cas9eGFP,2 µg/µl,1,7,9,Emb1_7ss_sec2.czi,2,19,28,18,14,33,14
2017.10.16_SMPD3_gRNA1_Cas9eGFP,SMPD3 gRNA1/Control gRNA,Cas9eGFP,2 µg/µl,1,7,9,Emb1_7ss_sec3.czi,3,12,6,11,6,15,6
2017.10.16_SMPD3_gRNA1_Cas9eGFP,SMPD3 gRNA1/Control gRNA,Cas9eGFP,2 µg/µl,1,7,9,Emb1_7ss_sec4.czi,4,30,27,14,9,34,15
2017.10.16_SMPD3_gRNA1_Cas9eGFP,SMPD3 gRNA1/Control gRNA,Cas9eGFP,2 µg/µl,1,7,9,Emb1_7ss_sec5.czi,5,13,8,15,3,19,14
2017.10.16_SMPD3_gRNA1_Cas9eGFP,SMPD3 gRNA1/Control gRNA,Cas9eGFP,2 µg/µl,2,7,9,Emb2_7ss_sec3.czi,1,34,24,44,31,46,40
2017.10.16_SMPD3_gRNA1_Cas9eGFP,SMPD3 gRNA1/Control gRNA,Cas9eGFP,2 µg/µl,2,7,9,Emb2_7ss_sec4.czi,2,35,26,44,21,37,39
2017.10.16_SMPD3_gRNA1_Cas9eGFP,SMPD3 gRNA1/Control gRNA,Cas9eGFP,2 µg/µl,2,7,9,Emb2_7ss_sec5.czi,3,39,9,28,23,26,18
2017.10.16_SMPD3_gRNA1_Cas9eGFP,SMPD3 gRNA1/Control gRNA,Cas9eGFP,2 µg/µl,2,7,9,Emb2_7ss_sec6.czi,4,39,9,27,7,1,1
2017.10.16_SMPD3_gRNA1_Cas9eGFP,SMPD3 gRNA1/Control gRNA,Cas9eGFP,2 µg/µl,2,7,9,Emb2_7ss_sec7.czi,5,15,2,12,3,9,8
2017.10.16_SMPD3_gRNA1_Cas9eGFP,SMPD3 gRNA1/Control gRNA,Cas9eGFP,2 µg/µl,3,8,9,Emb3_8ss_sec3.czi,1,7,19,8,18,22,28
