,Embryo,stain,cells,ECDF
0,1,cntl pax7,36.8,0.5714285714285714
1,2,cntl pax7,46.4,0.8571428571428571
2,3,cntl pax7,34.2,0.2857142857142857
3,5,cntl pax7,73.6,1.0
4,6,cntl pax7,34.8,0.42857142857142855
5,7,cntl pax7,41.2,0.7142857142857143
6,9,cntl pax7,23.4,0.14285714285714285
7,1,expt pax7,23.6,0.14285714285714285
8,2,expt pax7,48.0,0.8571428571428571
9,3,expt pax7,32.4,0.2857142857142857
10,5,expt pax7,52.0,1.0
11,6,expt pax7,46.8,0.7142857142857143
12,7,expt pax7,37.6,0.5714285714285714
13,9,expt pax7,32.4,0.42857142857142855
14,1,cntl sox9,24.8,0.5714285714285714
15,2,cntl sox9,23.8,0.42857142857142855
16,3,cntl sox9,24.8,0.7142857142857143
17,5,cntl sox9,41.2,1.0
18,6,cntl sox9,26.0,0.8571428571428571
19,7,cntl sox9,21.8,0.2857142857142857
20,9,cntl sox9,14.2,0.14285714285714285
21,1,expt sox9,13.4,0.14285714285714285
22,2,expt sox9,21.2,0.42857142857142855
23,3,expt sox9,27.6,0.7142857142857143
24,5,expt sox9,28.4,0.8571428571428571
25,6,expt sox9,37.8,1.0
26,7,expt sox9,22.6,0.5714285714285714
27,9,expt sox9,14.2,0.2857142857142857
